team,expected_assists_1,expected_assists_2,expected_assists_3,expected_assists_4,expected_assists_5,expected_assists_6,expected_assists_7,expected_assists_8,expected_assists_9,expected_assists_10,expected_assists_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.6699999999999999,0.1,1.09,0.79,1.08,1.72,0.5700000000000001,0.58,0.76,0.84,0.24000000000000002
7.0,0.62,0.51,1.3699999999999999,0.7600000000000001,0.86,0.9199999999999999,0.71,0.61,1.88,0.6799999999999999,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
4.0,1.44,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71
10.0,0.32999999999999996,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.27,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25
4.0,1.44,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.2,0.72,1.21,0.49,0.6599999999999999,1.18,0.98,1.04,0.8099999999999999,0.48000000000000004,0.59
17.0,0.55,0.62,0.32,0.97,0.45,0.9,0.08,1.12,0.29,0.44,0.12000000000000001
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.32999999999999996,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11
4.0,1.44,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71
4.0,1.44,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
8.0,0.61,1.04,0.72,0.19,0.0,0.11000000000000001,0.13,0.28,0.88,0.2,0.63
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.55,0.62,0.32,0.97,0.45,0.9,0.08,1.12,0.29,0.44,0.12000000000000001
16.0,0.6699999999999999,0.1,1.09,0.79,1.08,1.72,0.5700000000000001,0.58,0.76,0.84,0.24000000000000002
13.0,0.72,1.55,0.32,1.25,1.75,0.69,0.7000000000000001,1.6600000000000001,1.31,1.13,1.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.2,0.72,1.21,0.49,0.6599999999999999,1.18,0.98,1.04,0.8099999999999999,0.48000000000000004,0.59
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.52,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
14.0,0.52,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58
3.0,1.6,1.46,0.52,1.08,1.21,0.76,0.49000000000000005,0.66,1.19,1.07,0.52
18.0,1.27,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25
4.0,1.44,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71
3.0,1.6,1.46,0.52,1.08,1.21,0.76,0.49000000000000005,0.66,1.19,1.07,0.52
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.2,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55
11.0,0.53,0.31,0.7700000000000001,0.28,0.98,0.22,0.64,0.15,1.6500000000000001,0.14,1.2
8.0,0.61,1.04,0.72,0.19,0.0,0.11000000000000001,0.13,0.28,0.88,0.2,0.63
11.0,0.53,0.31,0.7700000000000001,0.28,0.98,0.22,0.64,0.15,1.6500000000000001,0.14,1.2
9.0,1.18,0.8099999999999999,0.64,0.33,0.32,0.7200000000000001,0.9299999999999999,0.39,0.66,0.88,1.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.32999999999999996,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11
9.0,1.18,0.8099999999999999,0.64,0.33,0.32,0.7200000000000001,0.9299999999999999,0.39,0.66,0.88,1.79
1.0,1.13,0.89,2.08,1.38,1.24,1.6300000000000001,1.2,1.35,1.22,0.89,1.25
1.0,1.13,0.89,2.08,1.38,1.24,1.6300000000000001,1.2,1.35,1.22,0.89,1.25
1.0,1.13,0.89,2.08,1.38,1.24,1.6300000000000001,1.2,1.35,1.22,0.89,1.25
18.0,1.27,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25
17.0,0.55,0.62,0.32,0.97,0.45,0.9,0.08,1.12,0.29,0.44,0.12000000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
6.0,1.2,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55
14.0,0.52,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.32999999999999996,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11
4.0,1.44,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71
6.0,1.2,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55
11.0,0.53,0.31,0.7700000000000001,0.28,0.98,0.22,0.64,0.15,1.6500000000000001,0.14,1.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.27,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25
1.0,1.13,0.89,2.08,1.38,1.24,1.6300000000000001,1.2,1.35,1.22,0.89,1.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.27,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.61,1.04,0.72,0.19,0.0,0.11000000000000001,0.13,0.28,0.88,0.2,0.63
9.0,1.18,0.8099999999999999,0.64,0.33,0.32,0.7200000000000001,0.9299999999999999,0.39,0.66,0.88,1.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
13.0,0.72,1.55,0.32,1.25,1.75,0.69,0.7000000000000001,1.6600000000000001,1.31,1.13,1.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1.03,1.32,1.19,1.07,0.01,1.3699999999999999,2.08,3.0500000000000003,1.53,1.18,1.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.2,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
10.0,0.32999999999999996,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.27,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.8200000000000001,0.43,0.18,2.67,1.02,0.93,0.7000000000000001,0.66,0.34,1.51,0.13999999999999999
3.0,1.6,1.46,0.52,1.08,1.21,0.76,0.49000000000000005,0.66,1.19,1.07,0.52
19.0,0.8200000000000001,0.43,0.18,2.67,1.02,0.93,0.7000000000000001,0.66,0.34,1.51,0.13999999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.61,1.04,0.72,0.19,0.0,0.11000000000000001,0.13,0.28,0.88,0.2,0.63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.44,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.62,0.51,1.3699999999999999,0.7600000000000001,0.86,0.9199999999999999,0.71,0.61,1.88,0.6799999999999999,1.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
15.0,1.3800000000000001,0.89,0.24,0.84,1.4,2.2399999999999998,2.14,2.55,0.7999999999999999,0.9500000000000001,1.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.27,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25
13.0,0.72,1.55,0.32,1.25,1.75,0.69,0.7000000000000001,1.6600000000000001,1.31,1.13,1.46
16.0,0.6699999999999999,0.1,1.09,0.79,1.08,1.72,0.5700000000000001,0.58,0.76,0.84,0.24000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.6,1.46,0.52,1.08,1.21,0.76,0.49000000000000005,0.66,1.19,1.07,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.6699999999999999,0.1,1.09,0.79,1.08,1.72,0.5700000000000001,0.58,0.76,0.84,0.24000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1.03,1.32,1.19,1.07,0.01,1.3699999999999999,2.08,3.0500000000000003,1.53,1.18,1.99
14.0,0.52,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58
15.0,1.3800000000000001,0.89,0.24,0.84,1.4,2.2399999999999998,2.14,2.55,0.7999999999999999,0.9500000000000001,1.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.5700000000000001,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24
12.0,1.03,1.32,1.19,1.07,0.01,1.3699999999999999,2.08,3.0500000000000003,1.53,1.18,1.99
11.0,0.53,0.31,0.7700000000000001,0.28,0.98,0.22,0.64,0.15,1.6500000000000001,0.14,1.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.04,0.72,0.19,0.0,0.11000000000000001,0.13,0.28,0.88,0.2,0.63,1.19
6.0,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55,0.9600000000000001
4.0,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71,1.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55,0.9600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.04,0.72,0.19,0.0,0.11000000000000001,0.13,0.28,0.88,0.2,0.63,1.19
15.0,0.89,0.24,0.84,1.4,2.2399999999999998,2.14,2.55,0.7999999999999999,0.9500000000000001,1.7,0.65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.43,0.18,2.67,1.02,0.93,0.7000000000000001,0.66,0.34,1.51,0.13999999999999999,0.16
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
2.0,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24,0.29000000000000004
6.0,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55,0.9600000000000001
1.0,0.89,2.08,1.38,1.24,1.6300000000000001,1.2,1.35,1.22,0.89,1.25,1.3399999999999999
13.0,1.55,0.32,1.25,1.75,0.69,0.7000000000000001,1.6600000000000001,1.31,1.13,1.46,1.49
15.0,0.89,0.24,0.84,1.4,2.2399999999999998,2.14,2.55,0.7999999999999999,0.9500000000000001,1.7,0.65
12.0,1.32,1.19,1.07,0.01,1.3699999999999999,2.08,3.0500000000000003,1.53,1.18,1.99,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.8099999999999999,0.64,0.33,0.32,0.7200000000000001,0.9299999999999999,0.39,0.66,0.88,1.79,0.98
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.43,0.18,2.67,1.02,0.93,0.7000000000000001,0.66,0.34,1.51,0.13999999999999999,0.16
15.0,0.89,0.24,0.84,1.4,2.2399999999999998,2.14,2.55,0.7999999999999999,0.9500000000000001,1.7,0.65
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
8.0,1.04,0.72,0.19,0.0,0.11000000000000001,0.13,0.28,0.88,0.2,0.63,1.19
6.0,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55,0.9600000000000001
7.0,0.51,1.3699999999999999,0.7600000000000001,0.86,0.9199999999999999,0.71,0.61,1.88,0.6799999999999999,1.0,1.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1.55,0.32,1.25,1.75,0.69,0.7000000000000001,1.6600000000000001,1.31,1.13,1.46,1.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.04,0.72,0.19,0.0,0.11000000000000001,0.13,0.28,0.88,0.2,0.63,1.19
15.0,0.89,0.24,0.84,1.4,2.2399999999999998,2.14,2.55,0.7999999999999999,0.9500000000000001,1.7,0.65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1.55,0.32,1.25,1.75,0.69,0.7000000000000001,1.6600000000000001,1.31,1.13,1.46,1.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58,0.63
10.0,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11,0.27999999999999997
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
15.0,0.89,0.24,0.84,1.4,2.2399999999999998,2.14,2.55,0.7999999999999999,0.9500000000000001,1.7,0.65
1.0,0.89,2.08,1.38,1.24,1.6300000000000001,1.2,1.35,1.22,0.89,1.25,1.3399999999999999
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,0.73,2.06,1.52,0.93,0.78,0.74,1.8900000000000001,0.77,1.55,0.9600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.72,1.21,0.49,0.6599999999999999,1.18,0.98,1.04,0.8099999999999999,0.48000000000000004,0.59,1.03
7.0,0.51,1.3699999999999999,0.7600000000000001,0.86,0.9199999999999999,0.71,0.61,1.88,0.6799999999999999,1.0,1.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71,1.02
17.0,0.62,0.32,0.97,0.45,0.9,0.08,1.12,0.29,0.44,0.12000000000000001,0.45
14.0,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58,0.63
15.0,0.89,0.24,0.84,1.4,2.2399999999999998,2.14,2.55,0.7999999999999999,0.9500000000000001,1.7,0.65
19.0,0.43,0.18,2.67,1.02,0.93,0.7000000000000001,0.66,0.34,1.51,0.13999999999999999,0.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58,0.63
5.0,0.72,1.21,0.49,0.6599999999999999,1.18,0.98,1.04,0.8099999999999999,0.48000000000000004,0.59,1.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1.32,1.19,1.07,0.01,1.3699999999999999,2.08,3.0500000000000003,1.53,1.18,1.99,3.02
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
5.0,0.72,1.21,0.49,0.6599999999999999,1.18,0.98,1.04,0.8099999999999999,0.48000000000000004,0.59,1.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71,1.02
9.0,0.8099999999999999,0.64,0.33,0.32,0.7200000000000001,0.9299999999999999,0.39,0.66,0.88,1.79,0.98
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
10.0,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11,0.27999999999999997
14.0,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58,0.63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.34,0.4,1.44,1.93,1.1199999999999999,0.87,0.42,1.02,1.09,0.24,0.29000000000000004
10.0,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11,0.27999999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1.55,0.32,1.25,1.75,0.69,0.7000000000000001,1.6600000000000001,1.31,1.13,1.46,1.49
5.0,0.72,1.21,0.49,0.6599999999999999,1.18,0.98,1.04,0.8099999999999999,0.48000000000000004,0.59,1.03
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.67,0.74,0.22000000000000003,0.72,1.4200000000000002,1.8499999999999999,0.5,0.77,1.28,1.58,0.63
10.0,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11,0.27999999999999997
10.0,0.53,0.6100000000000001,0.48000000000000004,1.42,1.06,0.49,0.09,0.25,0.81,0.11,0.27999999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
1.0,0.89,2.08,1.38,1.24,1.6300000000000001,1.2,1.35,1.22,0.89,1.25,1.3399999999999999
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.72,1.21,0.49,0.6599999999999999,1.18,0.98,1.04,0.8099999999999999,0.48000000000000004,0.59,1.03
4.0,0.35,1.37,0.53,0.79,1.42,0.9900000000000001,0.83,0.52,1.5699999999999998,1.71,1.02
12.0,1.32,1.19,1.07,0.01,1.3699999999999999,2.08,3.0500000000000003,1.53,1.18,1.99,3.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1.55,0.32,1.25,1.75,0.69,0.7000000000000001,1.6600000000000001,1.31,1.13,1.46,1.49
18.0,1.04,0.87,0.68,1.46,1.04,0.85,0.6799999999999999,0.8600000000000001,0.97,0.25,1.1600000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
